,top_genres,num_tracks_in_album,num_listens_per_album,track_favorites,duration,interest,num_listens_per_song,chroma_cens,chroma_cqt,chroma_stft,mfcc,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zcr
0,Electronic/Rock,1,4,4,2,2,1,1,1,1,0,3,3,4,4,4,4,4
1,Electronic/Rock,1,4,4,1,4,1,2,2,2,4,4,3,4,4,4,0,4
2,Electronic/Rock,1,4,4,3,2,1,4,3,2,4,2,3,4,4,4,2,4
3,Electronic/Rock,1,4,4,2,1,4,1,2,2,4,3,3,4,4,4,2,4
4,Electronic/Rock,1,4,4,1,4,2,1,1,3,4,4,3,4,4,4,2,4
5,Electronic/Rock,1,4,4,3,4,2,1,1,1,4,3,3,4,4,4,2,4
6,Electronic/Rock,1,4,4,2,1,4,1,0,2,4,3,3,4,4,4,4,3
7,Electronic/Rock,1,4,4,0,4,2,2,4,4,4,3,3,4,4,4,2,4
8,Electronic/Rock,1,4,4,2,2,1,3,2,2,4,3,3,4,4,4,3,4
9,Electronic/Rock,1,4,4,2,2,1,2,3,1,4,3,3,4,4,4,2,4
10,Electronic/Rock,1,4,4,1,0,0,1,1,2,0,3,3,4,4,4,3,4
11,Electronic/Rock,1,4,4,1,4,2,1,2,2,4,4,3,4,4,4,3,4
12,Electronic/Rock,0,4,4,1,1,1,2,4,3,4,4,3,3,4,4,3,4
13,Electronic/Rock,0,0,0,4,4,4,1,2,3,0,1,1,2,2,3,3,3
14,Electronic/Rock,1,1,3,1,3,3,3,4,4,0,4,3,4,0,4,2,4
15,Electronic/Rock,1,1,4,4,1,4,3,4,2,0,4,3,4,0,4,0,4
16,Electronic/Rock,1,1,0,0,4,4,3,4,3,0,4,3,3,2,4,0,4
17,Electronic/Rock,1,1,3,3,1,4,3,4,4,0,4,1,2,1,2,0,2
18,Electronic/Rock,1,1,0,1,2,1,3,3,1,1,3,2,3,0,3,0,4
19,Electronic/Rock,1,1,0,0,4,4,2,3,4,0,3,3,2,2,3,3,4
